Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Sexo;Edad;Grado de urbanización;Periodo;Total
Total Nacional;01 Andalucía;18 Granada;Hombres;Menos de 16 años;Área poco poblada;2022;13.391
Total Nacional;01 Andalucía;18 Granada;Hombres;Menos de 16 años;Área poco poblada;2021;13.541
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Total;2025;310.949
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Total;2024;309.760
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Total;2023;309.508
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Total;2022;307.550
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Total;2021;307.758
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Área densamente poblada;2025;127.847
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Área densamente poblada;2024;127.007
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Área densamente poblada;2023;126.457
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Área densamente poblada;2022;125.229
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Área densamente poblada;2021;126.330
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2025;116.451
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2024;115.651
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2023;115.222
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2022;114.354
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2021;113.682
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Área poco poblada;2025;66.651
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Área poco poblada;2024;67.102
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Área poco poblada;2023;67.829
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Área poco poblada;2022;67.967
Total Nacional;01 Andalucía;18 Granada;Hombres;De 16 a 64 años;Área poco poblada;2021;67.746
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Total;2025;83.533
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Total;2024;81.023
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Total;2023;78.300
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Total;2022;75.695
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Total;2021;73.904
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Área densamente poblada;2025;33.779
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Área densamente poblada;2024;32.717
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Área densamente poblada;2023;31.522
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Área densamente poblada;2022;30.419
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Área densamente poblada;2021;29.683
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Área poblada nivel intermedio;2025;28.348
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Área poblada nivel intermedio;2024;27.418
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Área poblada nivel intermedio;2023;26.467
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Área poblada nivel intermedio;2022;25.419
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Área poblada nivel intermedio;2021;24.584
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Área poco poblada;2025;21.406
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Área poco poblada;2024;20.888
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Área poco poblada;2023;20.311
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Área poco poblada;2022;19.857
Total Nacional;01 Andalucía;18 Granada;Hombres;65 y más años;Área poco poblada;2021;19.637
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Total;2025;480.849
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Total;2024;477.226
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Total;2023;473.535
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Total;2022;469.185
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Total;2021;468.653
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Área densamente poblada;2025;210.772
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Área densamente poblada;2024;209.118
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Área densamente poblada;2023;207.011
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Área densamente poblada;2022;204.828
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Área densamente poblada;2021;205.779
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Área poblada nivel intermedio;2025;174.945
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Área poblada nivel intermedio;2024;173.293
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Área poblada nivel intermedio;2023;171.705
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Área poblada nivel intermedio;2022;169.909
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Área poblada nivel intermedio;2021;168.375
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Área poco poblada;2025;95.132
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Área poco poblada;2024;94.815
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Área poco poblada;2023;94.819
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Área poco poblada;2022;94.448
Total Nacional;01 Andalucía;18 Granada;Mujeres;Todas las edades;Área poco poblada;2021;94.499
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Total;2025;66.457
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Total;2024;67.479
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Total;2023;68.480
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Total;2022;69.411
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Total;2021;70.429
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Área densamente poblada;2025;27.632
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Área densamente poblada;2024;28.289
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Área densamente poblada;2023;28.850
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Área densamente poblada;2022;29.396
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Área densamente poblada;2021;30.154
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2025;26.393
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2024;26.833
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2023;27.212
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2022;27.529
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Área poblada nivel intermedio;2021;27.657
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Área poco poblada;2025;12.432
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Área poco poblada;2024;12.357
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Área poco poblada;2023;12.418
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Área poco poblada;2022;12.486
Total Nacional;01 Andalucía;18 Granada;Mujeres;Menos de 16 años;Área poco poblada;2021;12.618
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Total;2025;309.284
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Total;2024;307.921
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Total;2023;306.154
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Total;2022;303.322
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Total;2021;303.491
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Área densamente poblada;2025;135.493
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Área densamente poblada;2024;134.807
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Área densamente poblada;2023;133.724
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Área densamente poblada;2022;132.235
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Área densamente poblada;2021;133.312
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Área poblada nivel intermedio;2025;114.673
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Área poblada nivel intermedio;2024;113.826
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Área poblada nivel intermedio;2023;112.899
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Área poblada nivel intermedio;2022;111.716
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Área poblada nivel intermedio;2021;110.898
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Área poco poblada;2025;59.118
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Área poco poblada;2024;59.288
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Área poco poblada;2023;59.531
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Área poco poblada;2022;59.371
Total Nacional;01 Andalucía;18 Granada;Mujeres;De 16 a 64 años;Área poco poblada;2021;59.281
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Total;2025;105.108
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Total;2024;101.826
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Total;2023;98.901
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Total;2022;96.452
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Total;2021;94.733
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Área densamente poblada;2025;47.647
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Área densamente poblada;2024;46.022
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Área densamente poblada;2023;44.437
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Área densamente poblada;2022;43.197
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Área densamente poblada;2021;42.313
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Área poblada nivel intermedio;2025;33.879
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Área poblada nivel intermedio;2024;32.634
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Área poblada nivel intermedio;2023;31.594
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Área poblada nivel intermedio;2022;30.664
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Área poblada nivel intermedio;2021;29.820
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Área poco poblada;2025;23.582
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Área poco poblada;2024;23.170
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Área poco poblada;2023;22.870
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Área poco poblada;2022;22.591
Total Nacional;01 Andalucía;18 Granada;Mujeres;65 y más años;Área poco poblada;2021;22.600
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Total;2025;538.789
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Total;2024;535.734
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Total;2023;534.084
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Total;2022;531.094
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Total;2021;527.254
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Área densamente poblada;2025;143.774
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Área densamente poblada;2024;143.526
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Área densamente poblada;2023;142.968
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Área densamente poblada;2022;142.150
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Área densamente poblada;2021;142.668
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Área poblada nivel intermedio;2025;295.110
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Área poblada nivel intermedio;2024;292.169
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Área poblada nivel intermedio;2023;290.834
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Área poblada nivel intermedio;2022;288.761
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Área poblada nivel intermedio;2021;284.594
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Área poco poblada;2025;99.905
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Área poco poblada;2024;100.039
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Área poco poblada;2023;100.282
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Área poco poblada;2022;100.183
Total Nacional;01 Andalucía;21 Huelva;Total;Todas las edades;Área poco poblada;2021;99.992
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Total;2025;79.171
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Total;2024;80.811
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Total;2023;82.565
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Total;2022;83.833
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Total;2021;85.009
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Área densamente poblada;2025;20.552
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Área densamente poblada;2024;21.256
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Área densamente poblada;2023;21.801
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Área densamente poblada;2022;22.244
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Área densamente poblada;2021;22.809
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Área poblada nivel intermedio;2025;45.622
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Área poblada nivel intermedio;2024;46.359
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Área poblada nivel intermedio;2023;47.418
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Área poblada nivel intermedio;2022;48.282
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Área poblada nivel intermedio;2021;48.785
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Área poco poblada;2025;12.997
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Área poco poblada;2024;13.196
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Área poco poblada;2023;13.346
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Área poco poblada;2022;13.307
Total Nacional;01 Andalucía;21 Huelva;Total;Menos de 16 años;Área poco poblada;2021;13.415
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Total;2025;360.131
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Total;2024;358.129
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Total;2023;357.339
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Total;2022;355.382
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Total;2021;351.985
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Área densamente poblada;2025;93.810
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Área densamente poblada;2024;93.473
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Área densamente poblada;2023;93.087
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Área densamente poblada;2022;92.467
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Área densamente poblada;2021;92.826
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Área poblada nivel intermedio;2025;202.315
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Área poblada nivel intermedio;2024;200.248
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Área poblada nivel intermedio;2023;199.284
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Área poblada nivel intermedio;2022;197.655
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Área poblada nivel intermedio;2021;193.993
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Área poco poblada;2025;64.006
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Área poco poblada;2024;64.408
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Área poco poblada;2023;64.968
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Área poco poblada;2022;65.260
Total Nacional;01 Andalucía;21 Huelva;Total;De 16 a 64 años;Área poco poblada;2021;65.166
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Total;2025;99.487
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Total;2024;96.794
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Total;2023;94.180
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Total;2022;91.879
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Total;2021;90.260
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Área densamente poblada;2025;29.412
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Área densamente poblada;2024;28.797
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Área densamente poblada;2023;28.080
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Área densamente poblada;2022;27.439
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Área densamente poblada;2021;27.033
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Área poblada nivel intermedio;2025;47.173
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Área poblada nivel intermedio;2024;45.562
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Área poblada nivel intermedio;2023;44.132
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Área poblada nivel intermedio;2022;42.824
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Área poblada nivel intermedio;2021;41.816
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Área poco poblada;2025;22.902
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Área poco poblada;2024;22.435
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Área poco poblada;2023;21.968
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Área poco poblada;2022;21.616
Total Nacional;01 Andalucía;21 Huelva;Total;65 y más años;Área poco poblada;2021;21.411
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Total;2025;267.376
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Total;2024;265.662
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Total;2023;265.017
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Total;2022;263.398
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Total;2021;261.186
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Área densamente poblada;2025;68.917
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Área densamente poblada;2024;68.785
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Área densamente poblada;2023;68.586
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Área densamente poblada;2022;68.206
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Área densamente poblada;2021;68.465
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Área poblada nivel intermedio;2025;148.272
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Área poblada nivel intermedio;2024;146.593
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Área poblada nivel intermedio;2023;146.011
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Área poblada nivel intermedio;2022;144.808
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Área poblada nivel intermedio;2021;142.542
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Área poco poblada;2025;50.187
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Área poco poblada;2024;50.284
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Área poco poblada;2023;50.420
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Área poco poblada;2022;50.384
Total Nacional;01 Andalucía;21 Huelva;Hombres;Todas las edades;Área poco poblada;2021;50.179
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Total;2025;40.672
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Total;2024;41.692
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Total;2023;42.598
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Total;2022;43.335
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Total;2021;43.838
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Área densamente poblada;2025;10.573
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Área densamente poblada;2024;10.973
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Área densamente poblada;2023;11.304
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Área densamente poblada;2022;11.519
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Área densamente poblada;2021;11.765
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Área poblada nivel intermedio;2025;23.471
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Área poblada nivel intermedio;2024;23.970
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Área poblada nivel intermedio;2023;24.488
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Área poblada nivel intermedio;2022;25.026
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Área poblada nivel intermedio;2021;25.247
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Área poco poblada;2025;6.628
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Área poco poblada;2024;6.749
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Área poco poblada;2023;6.806
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Área poco poblada;2022;6.790
Total Nacional;01 Andalucía;21 Huelva;Hombres;Menos de 16 años;Área poco poblada;2021;6.826
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Total;2025;181.993
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Total;2024;180.604
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Total;2023;180.382
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Total;2022;179.172
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Total;2021;177.286
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Área densamente poblada;2025;46.058
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Área densamente poblada;2024;45.790
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Área densamente poblada;2023;45.566
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Área densamente poblada;2022;45.260
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Área densamente poblada;2021;45.412
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2025;102.791
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2024;101.411
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2023;101.016
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2022;99.945
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2021;97.951
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Área poco poblada;2025;33.144
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Área poco poblada;2024;33.403
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Área poco poblada;2023;33.800
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Área poco poblada;2022;33.967
Total Nacional;01 Andalucía;21 Huelva;Hombres;De 16 a 64 años;Área poco poblada;2021;33.923
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Total;2025;44.711
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Total;2024;43.366
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Total;2023;42.037
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Total;2022;40.891
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Total;2021;40.062
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Área densamente poblada;2025;12.286
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Área densamente poblada;2024;12.022
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Área densamente poblada;2023;11.716
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Área densamente poblada;2022;11.427
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Área densamente poblada;2021;11.288
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Área poblada nivel intermedio;2025;22.010
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Área poblada nivel intermedio;2024;21.212
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Área poblada nivel intermedio;2023;20.507
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Área poblada nivel intermedio;2022;19.837
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Área poblada nivel intermedio;2021;19.344
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Área poco poblada;2025;10.415
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Área poco poblada;2024;10.132
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Área poco poblada;2023;9.814
Total Nacional;01 Andalucía;21 Huelva;Hombres;65 y más años;Área poco poblada;2022;9.627
