Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
1995;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;12.6;Grados centígrados;
1995;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.4;Grados centígrados;
1995;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.8;Grados centígrados;
1995;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.9;Grados centígrados;
1996;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.4;Grados centígrados;
1996;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;14.6;Grados centígrados;
1996;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;13.9;Grados centígrados;
1996;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;12.8;Grados centígrados;
1996;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;11.6;Grados centígrados;
1997;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.6;Grados centígrados;
1997;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.4;Grados centígrados;
1997;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;-;Grados centígrados;
1997;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.8;Grados centígrados;
1997;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;12.4;Grados centígrados;
1998;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;12.2;Grados centígrados;
1998;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.8;Grados centígrados;
1998;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;14.9;Grados centígrados;
1998;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.2;Grados centígrados;
1998;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.4;Grados centígrados;
1999;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.0;Grados centígrados;
1999;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.2;Grados centígrados;
1999;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.0;Grados centígrados;
1999;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
1999;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.6;Grados centígrados;
2000;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2000;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;13.7;Grados centígrados;
2000;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.1;Grados centígrados;
2000;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.6;Grados centígrados;
2000;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.2;Grados centígrados;
2001;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.8;Grados centígrados;
2001;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2001;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.0;Grados centígrados;
2001;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.2;Grados centígrados;
2001;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.1;Grados centígrados;
2002;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.0;Grados centígrados;
2002;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.9;Grados centígrados;
2002;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.0;Grados centígrados;
2002;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2002;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.2;Grados centígrados;
